N,ansatz,H,X_h,L,order,boundary,iterations,nfev_ratio,overlap,E_a,E_t,E_a_t
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.9230769230769231,0.9999999231807849,-4.65305555532827,-4.653055889407627,-4.6530558894078435
4,QAOA,TFIM,-1,2,6,hypersphere,10,0.9333333333333333,0.9957641897790249,-4.653055830874485,-4.649406943462494,-4.653055889415983
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.3125,0.9906361706611049,-4.6530558685348975,-4.653055889417526,-4.653055889415754
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.6666666666666667,0.9906296845412504,-4.65305584394103,-4.653055889388564,-4.653055889416551
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.3333333333333333,0.9999999859148866,-4.653055804248855,-4.6530558894168035,-4.65305588941704
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.4,0.9999999381625185,-4.653055658844006,-4.6530558894176215,-4.653055889397684
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.3333333333333335,0.9906420051262571,-4.653055811970156,-4.653055889417011,-4.653055889413426
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.9230769230769231,0.999999977476909,-4.6530557991396755,-4.653055889416431,-4.65305588941059
4,QAOA,TFIM,-1,2,6,hypersphere,10,4.333333333333333,0.9906317919236233,-4.653055867481426,-4.6530558892957385,-4.653055889303934
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.3333333333333333,0.09545886115467692,-4.653055738238312,-1.99999999723459,-4.653055889396606
4,QAOA,TFIM,-1,2,6,hypersphere,10,5.8,0.09578054273584609,-1.9999999738125294,-4.6530558894155885,-1.9999999999999933
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.7857142857142858,0.9999999978676878,-4.653055881301198,-4.653055889416259,-4.6530558891697265
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.6,0.9999998696979929,-4.6530555391875135,-4.653055889415873,-4.65305588941319
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.1333333333333333,0.9906330197532262,-4.653055840053469,-4.6530558894140865,-4.6530558894091705
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.3333333333333333,0.9999999860819633,-4.65305582680659,-4.653055889414036,-4.653055889393929
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.8,0.9906377457894837,-4.653055794932208,-4.653055889410763,-4.653055889417469
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.4444444444444444,0.9999999906630471,-4.6530558466456275,-4.653055889417,-4.653055889388229
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.8,0.09579231670292444,-4.653055880667157,-1.9999999999977198,-4.653055889153995
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.4,0.990636112626287,-4.653055870541231,-4.653055889403359,-4.653055889410799
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.0,0.9999999867198768,-4.653055771365282,-4.653055889406808,-4.653055888132266
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.4615384615384615,0.09577862382262232,-4.653055853606408,-1.999999999586399,-4.653055889359864
4,QAOA,TFIM,-1,2,6,hypersphere,10,5.0,0.9906331520137489,-4.653055874565473,-4.653055889416831,-4.653055889407871
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.111111111111111,0.9906336434900916,-4.653055795344794,-4.653055889400677,-4.653055889394669
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.0,0.9999999951771877,-4.653055847704979,-4.653055889417566,-4.653055889264478
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.3529411764705883,0.999999969478965,-4.653055779946605,-4.6530558894175,-4.653055889411136
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.8461538461538463,0.9999999582643676,-4.653055783554059,-4.6530558894102505,-4.653055889404834
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.375,0.990640137088169,-4.653055820366203,-4.653055889415174,-4.653055889417594
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.888888888888889,0.9999999966433406,-4.653055865288015,-4.65305588940063,-4.653055887960286
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.6,0.9999999941217169,-4.6530558578921655,-4.653055889415042,-4.6530558894069545
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.3076923076923077,0.9998207064901852,-1.99999814470189,-1.9999999998083438,-1.9999999998396318
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.4285714285714284,0.9999999986979015,-4.653055884818445,-4.653055889414982,-4.653055887680095
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.0,0.9906354410391467,-4.65305578793708,-4.653055889414738,-4.653055886409776
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.7058823529411766,0.9906450622075167,-4.653055769950941,-4.653055889412664,-4.6530558894168434
4,QAOA,TFIM,-1,2,6,hypersphere,10,4.0588235294117645,0.9906417214279765,-4.653055675189523,-4.653055889414427,-4.6530558894081935
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.4375,0.9999999625566549,-4.653055673742782,-4.653055889410062,-4.653055889417176
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.1176470588235294,0.09571993642150939,-4.65305584351267,-1.9999999998389466,-4.653055889411417
4,QAOA,TFIM,-1,2,6,hypersphere,10,4.111111111111111,0.9999999970525942,-4.653055863072028,-4.653055889414726,-4.653055888858679
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.4375,0.9999999938677945,-4.653055867172679,-4.653055889404366,-4.653055889415808
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.5384615384615383,0.9906369202704075,-4.653055875547315,-4.653055889410343,-4.653055889401811
4,QAOA,TFIM,-1,2,6,hypersphere,10,6.454545454545454,0.9999999911470602,-4.653055814349563,-4.653055889407014,-4.653055888833455
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.8,0.9999999917413738,-4.653055861471927,-4.653055889381888,-4.653055889416426
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.625,0.9999999525153247,-4.653055518806936,-4.653055889417569,-4.653055889408079
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.8571428571428572,0.9999999821916551,-4.653055830741382,-4.653055889416444,-4.653055889357765
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.8,0.999999986212969,-4.6530558357070655,-4.653055889416622,-4.653055889415913
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.230769230769231,0.990641174646796,-4.65305584907972,-4.653055889414956,-4.653055889408393
4,QAOA,TFIM,-1,2,6,hypercube,10,2.4615384615384617,0.9999999803928922,-4.653055809899244,-4.6530558894162635,-4.653055889410576
4,QAOA,TFIM,-1,2,6,hypercube,10,2.4375,0.9906390124384598,-4.653055749562659,-4.65305588940335,-4.653055889417138
4,QAOA,TFIM,-1,2,6,hypercube,10,1.6428571428571428,0.9999999869680801,-4.653055857859082,-4.65305588941701,-4.653055889397479
4,QAOA,TFIM,-1,2,6,hypercube,10,1.1764705882352942,0.09577667099760279,-4.653055829505044,-1.99999999999949,-4.653055889409262
4,QAOA,TFIM,-1,2,6,hypercube,10,1.2666666666666666,0.09574901989792135,-4.65305574573709,-1.9999999999997962,-4.653055889415975
4,QAOA,TFIM,-1,2,6,hypercube,10,1.75,0.9906361897430427,-4.65305586847014,-4.653055889415706,-4.653055889413835
4,QAOA,TFIM,-1,2,6,hypercube,10,1.3125,0.999999987329658,-4.653055837041537,-4.6530558893346035,-4.653055889416939
4,QAOA,TFIM,-1,2,6,hypercube,10,3.2,0.9999999970987243,-4.653055878403745,-4.653055889416961,-4.653055889416263
4,QAOA,TFIM,-1,2,6,hypercube,10,2.176470588235294,0.9906389642515172,-4.653055773998549,-4.653055889413477,-4.653055889417578
4,QAOA,TFIM,-1,2,6,hypercube,10,1.5849056603773586,0.0976818565045918,-2.000003124532018,-4.653055889415027,-4.653055889410352
4,QAOA,TFIM,-1,2,6,hypercube,10,1.0,0.09578671861746894,-4.65305585170176,-1.999999999999521,-4.653055889416208
4,QAOA,TFIM,-1,2,6,hypercube,10,12.666666666666666,0.09578088630146883,-1.9999999999178038,-4.653055889415671,-1.9999999999908802
4,QAOA,TFIM,-1,2,6,hypercube,10,2.6,0.9906259014897547,-4.6530557293963275,-4.653055889412751,-4.653055889417586
4,QAOA,TFIM,-1,2,6,hypercube,10,1.6,0.9999999146035504,-4.6530555737248696,-4.653055889416887,-4.653055889417305
4,QAOA,TFIM,-1,2,6,hypercube,10,6.0,0.9906356617653673,-4.65305588719945,-4.653055889416549,-4.653055888673545
4,QAOA,TFIM,-1,2,6,hypercube,10,2.6153846153846154,0.9906261149828773,-4.653055719818299,-4.653055889417413,-4.653055889390748
4,QAOA,TFIM,-1,2,6,hypercube,10,2.7058823529411766,0.9999999700402247,-4.653055730352908,-4.653055889416935,-4.653055889417596
4,QAOA,TFIM,-1,2,6,hypercube,10,1.8125,0.09573297027788069,-4.653055679962917,-1.9999999999787672,-4.653055889417574
4,QAOA,TFIM,-1,2,6,hypercube,10,3.3846153846153846,0.9999999748938636,-4.653055836420513,-4.653055889414704,-4.653055889403541
4,QAOA,TFIM,-1,2,6,hypercube,10,2.923076923076923,0.9999999981139449,-4.653055881317381,-4.653055889417456,-4.653055888917792
4,QAOA,TFIM,-1,2,6,hypercube,10,3.357142857142857,0.9906397272844348,-4.6530558581702826,-4.653055889416983,-4.653055889414362
4,QAOA,TFIM,-1,2,6,hypercube,10,3.142857142857143,0.9999999990414812,-4.653055885419093,-4.653055889405031,-4.6530558879677075
